""	faceId	faceRectangle.top	faceRectangle.left	faceRectangle.width	faceRectangle.height	faceLandmarks.pupilLeft.x	faceLandmarks.pupilLeft.y	faceLandmarks.pupilRight.x	faceLandmarks.pupilRight.y	faceLandmarks.noseTip.x	faceLandmarks.noseTip.y	faceLandmarks.mouthLeft.x	faceLandmarks.mouthLeft.y	faceLandmarks.mouthRight.x	faceLandmarks.mouthRight.y	faceLandmarks.eyebrowLeftOuter.x	faceLandmarks.eyebrowLeftOuter.y	faceLandmarks.eyebrowLeftInner.x	faceLandmarks.eyebrowLeftInner.y	faceLandmarks.eyeLeftOuter.x	faceLandmarks.eyeLeftOuter.y	faceLandmarks.eyeLeftTop.x	faceLandmarks.eyeLeftTop.y	faceLandmarks.eyeLeftBottom.x	faceLandmarks.eyeLeftBottom.y	faceLandmarks.eyeLeftInner.x	faceLandmarks.eyeLeftInner.y	faceLandmarks.eyebrowRightInner.x	faceLandmarks.eyebrowRightInner.y	faceLandmarks.eyebrowRightOuter.x	faceLandmarks.eyebrowRightOuter.y	faceLandmarks.eyeRightInner.x	faceLandmarks.eyeRightInner.y	faceLandmarks.eyeRightTop.x	faceLandmarks.eyeRightTop.y	faceLandmarks.eyeRightBottom.x	faceLandmarks.eyeRightBottom.y	faceLandmarks.eyeRightOuter.x	faceLandmarks.eyeRightOuter.y	faceLandmarks.noseRootLeft.x	faceLandmarks.noseRootLeft.y	faceLandmarks.noseRootRight.x	faceLandmarks.noseRootRight.y	faceLandmarks.noseLeftAlarTop.x	faceLandmarks.noseLeftAlarTop.y	faceLandmarks.noseRightAlarTop.x	faceLandmarks.noseRightAlarTop.y	faceLandmarks.noseLeftAlarOutTip.x	faceLandmarks.noseLeftAlarOutTip.y	faceLandmarks.noseRightAlarOutTip.x	faceLandmarks.noseRightAlarOutTip.y	faceLandmarks.upperLipTop.x	faceLandmarks.upperLipTop.y	faceLandmarks.upperLipBottom.x	faceLandmarks.upperLipBottom.y	faceLandmarks.underLipTop.x	faceLandmarks.underLipTop.y	faceLandmarks.underLipBottom.x	faceLandmarks.underLipBottom.y	faceAttributes.smile	faceAttributes.gender	faceAttributes.age	faceAttributes.facialHair.moustache	faceAttributes.facialHair.beard	faceAttributes.facialHair.sideburns	faceAttributes.glasses	faceAttributes.emotion.anger	faceAttributes.emotion.contempt	faceAttributes.emotion.disgust	faceAttributes.emotion.fear	faceAttributes.emotion.happiness	faceAttributes.emotion.neutral	faceAttributes.emotion.sadness	faceAttributes.emotion.surprise	faceAttributes.accessories.type	faceAttributes.accessories.confidence	n
1223	29570905-82e9-4d16-b280-fecfed50f9ed	158	149	227	227	217.5	215.7	311.9	220	265.2	272.4	221.1	330.1	298.6	333.1	166.7	196.1	242.1	191	195.4	217.5	213.5	207.5	213.3	227.8	232.8	221.4	287.7	196.6	348.9	197.1	295.3	222.7	313.6	212.1	313.6	230.4	331	223.8	249.8	225.2	279.2	225.7	248.4	259	280.5	259.3	234.4	281.8	294.3	282.7	267.1	316.8	266.9	326.4	265.6	341.5	265.2	354.9	0.987	male	6	0	0	0	NoGlasses	0	0	0	0	0.987	0.008	0	0.005			1223
1224	86c7bbb3-f98e-4b82-8fe8-0bef398da5c0	160	142	246	246	219.6	219.1	311.2	217.2	270.1	294.3	225	348.3	299.3	349.2	174.6	197.2	237.4	192.9	203	223.1	217.6	212.5	217.2	229.3	231.7	224.7	297	191.5	352.9	194.5	298.9	221.9	312.1	210	313.6	226.8	326	220	254.8	228.5	279.6	229.2	249.9	275.2	283.9	274.1	239.5	297.1	295.2	299.2	268.8	343.1	268.2	351.5	266	349.9	266.5	364.8	0	male	6	0	0	0	NoGlasses	0	0	0	0	0	0.999	0.001	0.001			1224
1225	e3a346fc-c718-4c7b-809e-8fa2d40e6fcc	163	151	229	229	218.9	218.7	311.2	221.6	266.5	297.9	220.8	330.1	311.1	331.6	181.2	193.6	247.8	194	201.6	221.5	218.7	210.4	218.6	227.7	236.2	223.9	290.1	195.1	355.1	199	294.7	224.6	311.5	212.6	312.3	230.3	327.6	224.5	253	225.5	279.1	226.9	248	270.4	284.3	274.1	235.8	292.3	296.6	295.5	267.3	334.9	267.1	342.8	269.9	346.1	271.1	358.8	0.999	male	9	0	0	0	NoGlasses	0	0	0	0	0.999	0.001	0	0			1225
1226	3e26b983-2dbd-457e-94b7-a196a15b11a7	158	149	224	224	216.8	217.6	309.1	217.8	263.5	268.5	217.6	327.2	298.5	330	174.1	201	244.2	188.6	199.5	218.9	216.4	210.1	216.3	225.5	231.4	220.8	288.2	188.8	352.1	204	293.8	220.9	312.6	211.3	312.2	226.9	327.7	222.5	249	221.6	278.9	222.3	245.6	254.3	280.1	257.5	233.6	273.3	288.4	281	260.4	319.2	259.4	329	257.7	331.6	257.4	346	0.959	female	8	0	0	0	NoGlasses	0	0	0	0	0.959	0.041	0	0			1226
1227	ee4eeb51-6aa9-4687-86f6-98f0c56324e6	164	150	225	225	218.7	221.5	310.5	222.2	262.6	285.5	216.6	329.8	302	332.9	169	207.8	235.7	201.2	198.9	222.4	216	214.5	215.6	230.7	232.2	226.2	288	200.3	350	209.9	292	224.7	310.1	214.1	308.9	231.9	326.2	226.1	250.2	228.6	277	229	244.8	267.2	281.7	269.7	234	284.2	286	291.7	261.9	324.1	261.2	332.3	259.5	336.5	260.2	348.8	0.002	male	8	0	0	0	NoGlasses	0	0	0	0	0.002	0.998	0	0			1227
1229	8f0cb1f0-ddf2-4e5e-af9d-b49f4432b208	161	155	223	223	220.5	220.3	312.3	219.9	272.4	270.6	226.7	332.2	303	332.3	180.6	199.7	246.8	197.2	203.2	223.5	221.4	214.2	220.1	230	237.3	225.2	292.8	198.5	352.1	202.5	297.5	224.3	314.1	214.4	315	230.2	329.9	223.5	253.6	226.2	283.3	227.2	248.9	255.4	287.5	253.8	236.7	276.6	298.3	276.4	269.2	308.7	269.2	318.7	268.4	332.4	268.6	349	0	female	5	0	0	0	NoGlasses	0	0	0	0.006	0	0.961	0.001	0.031			1229
1230	1f3eb8b6-0b32-4a9f-8f4c-51867d1f0c63	160	151	227	227	220.9	214.8	312.3	222.1	263.4	268.9	228.1	332.9	294.9	341	174.4	188.2	249.5	193.5	203.7	214.6	221.3	208.1	219.9	225	237.3	220	291.2	196.5	355.1	200.4	297.3	223.1	314.3	215	314.6	231.3	330.9	223.2	252.8	224.3	281.5	225.5	245.6	262.2	279.2	262.1	236.4	279.6	290.1	281.4	263.4	317.6	262.8	328.1	261.3	335.9	261.2	351.1	0	male	10	0	0	0	NoGlasses	0	0	0	0.003	0	0.98	0.006	0.01			1230
1231	de27eba1-160b-40c0-8c92-86a4d7bdbfa5	162	155	223	223	221.5	217.5	311.5	218.2	277.1	279.3	225	331.1	299	330.8	180.7	190.9	243	190.3	200.1	221	219	209.5	216.5	232.1	234.4	225.2	295.4	188.4	346.4	190	295.1	222.7	312.4	208.4	313.7	232.2	330.4	220.3	256.3	226.6	284.4	227.3	252	262.9	290.1	261.5	242.6	284.7	298.6	284	271.6	314.2	270.8	325.3	268.8	350.5	268.7	370.2	0	male	5	0	0	0	NoGlasses	0	0	0	0	0	0.549	0	0.451			1231
1233	06b66d12-275f-4f44-a770-e50bbae15cbe	156	138	248	248	218.7	216.6	309.4	219	258	279.7	223.1	347.8	302.6	350.9	175	192.5	241.3	195.7	198	218.7	215.7	208.1	214.5	228.9	232.7	221.5	288	195.8	355.6	204.9	291.1	222.9	309.5	209.7	310.1	230.7	326.3	221.6	248.7	224.9	279.2	226	239.2	264.4	280.2	266.1	232.3	288.5	288.1	294	260.4	325.3	260	340.6	259.7	364	259.8	383.2	0.006	male	6	0	0	0	NoGlasses	0	0	0	0	0.006	0.802	0.001	0.191			1233
1234	7977cb0a-4e9c-4962-8f42-6dda0359637c	159	155	226	226	222.4	217.3	311.7	217.8	270.4	274.5	227.9	332.2	308.1	330.8	182.6	195	247.7	191.3	205.9	220.4	221.8	211.6	221	226.5	237	221	288	192.7	350.1	199.2	298.3	220.3	313.9	213.3	313.3	226.2	327	220.7	252.8	221.8	283.7	222.1	246.9	261	289.4	260.7	236.6	277.1	302.1	277.7	271.6	317.8	270.8	328.6	271.1	345.2	271.5	359.1	0.998	male	7	0	0	0	NoGlasses	0	0	0	0	0.998	0	0	0.002			1234
